Индекс,Тип региона,Регион,Тип района,Район,Тип города,Город,Тип н/п,Н/п,Код КЛАДР,Код ФИАС,Уровень по ФИАС,Признак центра района или региона,Код ОКАТО,Код ОКТМО,Код ИФНС,Часовой пояс,Широта,Долгота,Федеральный округ,Население
308000,обл,Белгородская,,,г,Белгород,,,3100000100000,02e9c019-ab4d-4fa0-928e-d6c0a41dc256,4: город,2,14401000000,14701000,3123,UTC69,50.5977351,36.5858236,Центральный,356426
309910,обл,Белгородская,р-н,Красногвардейский,г,Бирюч,,,3101200100000,eaaf5809-d1e2-4d93-8f05-85dd598cc403,4: город,1,14242501000,14642151,3122,UTC70,50.6483899,38.4006203,Центральный,7842
309990,обл,Белгородская,р-н,Валуйский,г,Валуйки,,,3100400100000,fe7eea4a-875a-4235-aa61-81c2a37a0440,4: город,1,14420000000,14620101001,3126,UTC71,50.2112799,38.0998765,Центральный,35322
309370,обл,Белгородская,р-н,Грайворонский,г,Грайворон,,,3100700100000,51c31ef5-10b3-4011-8e1c-7e7d452afd1b,4: город,1,14232501000,14632101001,3116,UTC72,50.4862699,35.6662957,Центральный,6234
309180,обл,Белгородская,,,г,Губкин,,,3100000400000,98b1ec30-6107-4f99-ae3a-9d82492f30a1,4: город,1,14430000000,14730000001,3127,UTC73,51.2836362,37.5347608,Центральный,88562
309210,обл,Белгородская,р-н,Корочанский,г,Короча,,,3101000100000,76fecead-fc02-459a-bce4-848698e645fe,4: город,1,14240501000,14640101,3120,UTC74,50.8130123,37.1896543,Центральный,5877
309640,обл,Белгородская,р-н,Новооскольский,г,Новый Оскол,,,3101400100000,f565b329-4041-4fd2-aa0a-debd5f7c3857,4: город,1,14244501000,14644101001,3114,UTC75,50.7635162,37.8774026,Центральный,19530
309500,обл,Белгородская,,,г,Старый Оскол,,,3100000200000,9f5e86b1-b893-43dc-9dd4-ac66573b17d1,4: город,1,14440000000,14740000001,3100,UTC76,51.2965991,37.8349849,Центральный,221163
309070,обл,Белгородская,р-н,Яковлевский,г,Строитель,,,3102100100000,19c9f6de-45cd-4c76-9839-abd571698ced,4: город,1,14258501000,14658101001,3130,UTC77,50.7845571,36.4886619,Центральный,23933
309290,обл,Белгородская,,,г,Шебекино,,,3100000300000,dc80ddf0-b1ac-4344-98e8-fcfa5295a0a3,4: город,1,14450000000,14656101001,3120,UTC78,50.4005506,36.8877988,Центральный,44277
